sentence,polarity,category,aspect
لهم جعله خيرا دائ وحفضه من زوال اخوا تونسي لماذا تسم بيض عضم,Positive,GENERAL,
نقصو من هريسه راهو موش باهي برشا معده شقاله عوم هريسه,Negative,FOOD#QUALITY,اكل
تابع اتابعك,Positive,GENERAL,
15 ساعه في مراحض وش هاذ خلوطه خويا راك تخلط وتزيد وتخلط وتزيد تخلط وتزيد يا خويا تونسي صرعت بلحس والله هاذ كفتاجي تقول عليه قيا معندكش ميكسور راك صراعت بلحس يعني تاكل كفتاجي يديك واد هرهار,Negative,FOOD#QUALITY,اكل
حاجه بركغالطه طماطم جامي تجي مع كفتاجي متجيش تقرص وتبدلل مطعم في قيرو بلاد كفتاجي فلفل وعضم فقط تصطيره,Negative,FOOD#QUALITY,اكل
طبخ مغربي وبس فطبخ عالمي,Negative,GENERAL,
واش هاذ خلوطه,Negative,FOOD#QUALITY,اكل
هذا مرض و ليس اكل,Negative,RESTAURANT#cleanliness,نظافة
كفتاجي قرو فقط هذا كفتاجي وخي واخد ياكلو مصارنو تتحطحط هريسه برشا حطيت و اكله اذا واحد ياكل يستطعم كان حار بلاش منها تضيع نكهه اكله حار فماش بعد كفتاجي قيرو تنسي نهبطولو من سوسه ذمه لسندويتش متاع و خبز سبيسيال,Negative,RESTAURANT#GENERAL,مطعم
لمن عطا عوينه علي كفتاجي في قرو خلي ساكه احسن,Negative,RESTAURANT#GENERAL,مطعم
خماج في خماج اكل شارع مرض انس,Negative,RESTAURANT#cleanliness,نظافة
اعلاش متبداش تفصيل من اولمتكلمتش علي بطاطه اول مسموطه والا مقليه,Negative,RESTAURANT#GENERAL,مطعم
ههه,Negative,GENERAL,
بصراحه توانسه محترم وبالذ ستات عكس مغاربه,Positive,GENERAL,
اكل عاديه وحتي طبسي صغير بزاف تقول تاع قط,Negative,FOOD#QUALITY,اكل
تحيه الي كل من يشاهد هذه مقاطع اثناء تناول وجبه عشاء ههه,Positive,GENERAL,
معروفه تسيطر تونس بصرحه افضل صحن كفتاجي قيرو افضل صحن,Positive,RESTAURANT#GENERAL,مطعم
احسن واحد يخدم كفتاجي قدام برديل تاع عاصمه,Positive,RESTAURANT#GENERAL,مطعم
كفتاجي قروي وهذا ليس كفتاجي,Negative,RESTAURANT#GENERAL,مطعم
ابن كفتاجي تلقاه في باب خضراء و باب سويقه,Positive,RESTAURANT#GENERAL,مطعم
كفتاجي معروف عالقيرو ولي يعمل فيه اسمو تسطيرا,Positive,RESTAURANT#GENERAL,مطعم
لين تخراو علي رواح حذاري اذا حار يولي مرض,Negative,FOOD#QUALITY,اكل
عكس صاليح معروف عجه اما كفتاجي صحيح عند صباط دزيري الي مقابلو و عند منير زادا نفس نهج نهج باب خضراء,Negative,RESTAURANT#GENERAL,مطعم
ما هي عظمه هل هي بيض,Positive,RESTAURANT#GENERAL,مطعم
تو بجاه ربي هاذا كفتاجي اصيل خويا لكفتاجي اصيل تلقاه كان فل قرو وهيا لقرو وفا 4 مناس صحاح لباقي لكل تجخلط خيري فل بلاد عربي بيك حسين حومه علي باي بوديسه وسط بلاد,Negative,RESTAURANT#GENERAL,مطعم
اعجب جدا كفتاجي ولكن لاحظت ان صحن صغير جدا لايسمن ولايغ من جوع,Negative,FOOD#QUALITY,اكل
برشا ملح حط,Negative,FOOD#QUALITY,اكل
بلاد خير,Negative,GENERAL,
طريقه تخليط سامه احتكاك حديد مع حديد حداري تم حداري من هده امور ناهيك عن اكل في حد ذاتي استفاده اكتر شاهدو دكتور محمد فائد,Negative,RESTAURANT#cleanliness,نظافة
محلاه اما طماطم خايبه و فلفل زادا حاول تطيب بفلفل مليح,Negative,FOOD#QUALITY,اكل
كفتاجي اصلا من غير تسطيره كل حاجه واحد علاه دخل بيهم في بعض و دخلت صحن تونسي يشبه الي كفتاجي انتم تخلط باش تكسب تعمل اكثر ممكن من اصحن كفتاجي معروف عظمه فوق هريسه مع قرن فلفل سلاطه خظره و بطاطا و زيت,Negative,RESTAURANT#GENERAL,مطعم
اسف ماكلت خلط جلط صب هريسه وكول بعاد ياسر عالماكل عالميه,Negative,FOOD#QUALITY,اكل
ماشاء الله كلش في تونس شباب,Positive,GENERAL,
صاباط اسم مش صباط,Negative,GENERAL,
من جزائر هذا فن و تراث و ليس اكل سريع مشاء له,Positive,GENERAL,
ممكن بنين اما براس ديك امشي اعمل ستاج في قيروان الي طيبتو موش كفتاجي و انشاء الله رمض مبروك,Negative,RESTAURANT#GENERAL,مطعم
حتي مرقاز اقدوه في حنوه امتاع,Negative,RESTAURANT#GENERAL,مطعم
صباط دزيري حذاء جزائري,Positive,GENERAL,
كسكروت كفتاجي لص في اريانه اقوي واحد,Positive,RESTAURANT#GENERAL,مطعم
ابن كفتاجي عند صاليح ورخيص,Positive,FOOD#PRICES,سوم
اخوه توانسه اكيد كلهم بيعانو من قول بسبب اكل حاره شكل حلو ولكن الله يعين علي اكل كله مسبك ههه,Negative,FOOD#QUALITY,اكل
خبز طبونه عع,Positive,FOOD#QUALITY,اكل
اهلا بخوتنه توانسه سراق مطلوع جزائر ونسبه لتونس دخلت الخط مع لمراركا,Positive,GENERAL,
مغرب عربي كله فقير في اكل لايوجد تنوع مثل مصر خليج وذلك لسبب وجود مختلف اعراف في خليج بسبب عمل ام في مصر بسبب سياحهج,Negative,GENERAL,
اخو من جزائر تنكت جوع لهم اني صائم,Positive,GENERAL,
شنوا هالتعفيط و عفن هذا قالو كفتاجي و انتم حتي ماكينه ترحيو بيها علي نظافه ما عندكمش شادد زوز سكا يرحي فيهم علي بعضهمهذي هيا مضي سيفك و قول فارس,Negative,RESTAURANT#cleanliness,نظافة
انا جزائري و نحب تونس بزاف تونس تعجب و نرتاح فيها تونس شقيقه,Positive,GENERAL,
كفتاجي اصلو جزائري علي فكره,Negative,RESTAURANT#GENERAL,مطعم
خامج وبن بصح علاه سياح اجانب يعافو ياكلو من عند علي خاطر ماهيش ماكله لي خامجه عكس نضيفه مشكل بائع تلقاه خامج ومخلي لحيه ويتكيف و وسنيه طايح وصفر ويخدم فالكسكروت ويهضر ورداد بزاق تاعو يتنطر علي ماكله اع عند الحق اجانب كي عافو,Negative,RESTAURANT#cleanliness,نظافة
لا اعرف لماذا يحدد سكين داخل اكل بهذه طريقه تتساقط جزيئ حديد متقطع داخل اكل بهذه تتسبب لا سمح له امراض جهاز هضمي وامراض خبيثه,Negative,RESTAURANT#cleanliness,نظافة
سوس هي الي فيها سر مهنا مل كذاب زيت امسخ و ماء سباله و ازيد يكذب لهريسه عربي احنا انقدو مل صاقط و كذاب,Negative,RESTAURANT#cleanliness,نظافة
كفتاجي اصلي في بلادو في قيرو باقي تقليد وحتي اذا قروي خرج من قيرو لا يستطيع عمل كفتاجي بدون خبز قيرو وهوا خبز شاواي فلا تكذب وتقول كفتاجي اصلي اقسم بربي قتلت بضحك كفتاجي اصلي في باب خضره تكذب عيني عينيك ههه,Negative,RESTAURANT#GENERAL,مطعم
كفتاجي متسمي علي قيرو كفتاجي قيرو هو اصل و باقي تقليد,Negative,RESTAURANT#GENERAL,مطعم
كفتاجي اختصاص قيرو فقط,Positive,RESTAURANT#GENERAL,مطعم
في تونس محل كلها وسخه عامل فيها ايضا لا يحترم نظافه انا لا اكل ابدا في شارع,Negative,RESTAURANT#cleanliness,نظافة
يبقي مطبخ تركي تركمنستا اذربيجا و مطابخ دول بلق افضل مطابخ هذا رايي وانشاء الله سيتغير مطبخ تونسي نحو افضل مشكله كثير من سياح اكل حار بسبب هريسه شوفول حل,Negative,RESTAURANT#GENERAL,مطعم
كفتاجي اصيل في قيرو لا غير باقي لكل تقليد و الي ميعرفش يسال علي كفتاجي اصيل وين,Negative,RESTAURANT#GENERAL,مطعم
ماكول كل مقليه زيت مضره صحه كثير لا تليق واش من خير يجيك من اللي يليع و ياكل لحم حمير بصريح عباره لطيف حذار اخوا جزائري من شراء لحم من تونسلحم حمير له شهره كبيره هناك,Negative,FOOD#QUALITY,اكل
حط في تسطيره 3 كغ ملح نقص ملح فم ناس مرضه ياكل صحن اموه جلط قلبيه من جرتك و هو مفبلوش الي انت اقتله,Negative,FOOD#QUALITY,اكل
سماح كان هذا كفتاجيو ماعند حتي علاقه كفتاجي من بعد وصف لوح و الا في قيروانانيم يكون بنين انا نعرفو وين ضبط لكن عمري ماكليت عندو و بين مبعد تسطيره تقول عليها هرڨه بطلهصحه علي,Negative,RESTAURANT#GENERAL,مطعم
كفتاجي قروي بفلفل قرو و خبز قرو و مهرس في هروسه نحاس مصنوعه في قرو,Negative,FOOD#QUALITY,اكل
كفتاجي اصيل في قيرو,Positive,RESTAURANT#LOCALISATION,عنوان
اكله شعبيه اصل فيها بنه و رخس مش زوز مغارف كفتاجي و كعب فريت ما يشبعوش طفل صغير خلي راجل ب 2500,Positive,FOOD#PRICES,سوم
ياسر كبير صحن صغرو فيه اكثر,Negative,RESTAURANT#GENERAL,مطعم
مكل كلاب,Negative,RESTAURANT#cleanliness,نظافة
دبا فهمت علاه شعب تونسي ميتكترش 12 ملي نسمه من 1990 مزال نفس نسمه خاطر كعبه عضم كعبه طماطم قطره زيت زيتونه حبه مركاز مشيا وجيا جبن يازه تو كولو مليح انكحو مليح اولدو اكترو لعباد ادريه وليدكوم من سوسه مسراطه تناكت,Negative,RESTAURANT#GENERAL,مطعم
ما اتفه توانسه,Negative,GENERAL,
تحيه من جزائر,Positive,GENERAL,
لهم صل وسلم وبارك علي سيد محمد وعلي اله وصحبه اجمع,Positive,GENERAL,
شكرا سفير بصراحه روعه نظافه ومنظر هايل يعطيك ويعطي صحه واحد توحش ماكله بلاد خاصه مطاعم قابس تاكل تحصل,Positive,RESTAURANT#cleanliness,نظافة
شاف ربيع يا فنان اول فرصه نجي ناكل عندك,Positive,GENERAL,
تي جربل ماكله و اعطي رايك,Positive,GENERAL,
ما شاء الله عند زين كسكروت لبن,Positive,FOOD#QUALITY,اكل
ربي يعين ناس الكل,Positive,RESTAURANT#SERVICE,شاف
قناه تحفه اكل شوارع في تونس مميزه,Positive,GENERAL,
خدمه نضيفه وتشهي,Positive,RESTAURANT#cleanliness,نظافة
سلام علي ناس مرحبا بيكم عندي و ليتفضل عندي يخليلي تعليق من تحت ترجعلو مثل امان ناس الكل عاونو ثبت تعليقي ولد بلادي يعيشك,Positive,RESTAURANT#GENERAL,مطعم
عمل جيد بورك وفق الله عز وجل,Positive,RESTAURANT#SERVICE,شاف
ماكله باينه نظيفه من صناع حانوت تقديم ماشاء الله تبارك رحمن مزيد من تالق,Positive,FOOD#QUALITY,اكل
لهم صل وسلم وبارك علي سيد محمد وعلي اله وصحبه اجمع,Positive,GENERAL,
شهيت خويا,Positive,RESTAURANT#GENERAL,مطعم
ارواحو لدزاير شوفو كسكروت,Positive,RESTAURANT#GENERAL,مطعم
ربي يعاونك ولد بلادي متابعتك علي طول,Positive,GENERAL,
يعطيك صحه شاف بدر,Positive,RESTAURANT#SERVICE,شاف
اه ربيع هذا معلم خبز يطيب فيه في كوشه وحدو تعجب يا جبني مشي زوز محرحر وتوصي,Positive,RESTAURANT#SERVICE,شاف
ربي يعين وبالتوفيق ان شاء الله اولاد بلادي,Positive,RESTAURANT#SERVICE,شاف
شهيه طيبه,Positive,GENERAL,
من ناحيه صوره تحسنت عالاخر معلم اما وقتاه نراوك ههه,Positive,GENERAL,
ايش راحرتسوي لما طوصل مائه الف,Positive,GENERAL,
مستميم بنات تبركله علي مزيان,Positive,GENERAL,
ماشالله سندويتش يدوخ يعطيه صحه,Positive,FOOD#QUALITY,اكل
لازم تاكل عند محمد شورمه في منزل جميل,Negative,RESTAURANT#GENERAL,مطعم
خدمه اذي تصوير بلوشي,Negative,GENERAL,
ماشاء الله تبارك رحم ربي معا,Positive,GENERAL,
مسهل عندکم کلمه شاف هو کل من حط يدو في ماکلا ولا شاف ربي يهديکم قللتو من قيمه شاف حقيق,Negative,RESTAURANT#SERVICE,شاف
رحله مهمه جدا ههه و حاكم يحكم و يعلق علي ما شاف ههه,Negative,GENERAL,
نظيف برشا,Positive,RESTAURANT#cleanliness,نظافة
مخيبو لماسك متاعو,Negative,RESTAURANT#GENERAL,مطعم
مهيش مليحه توري ماكله كاين ناس مهيش لقيتا,Negative,GENERAL,
تبارك الله علي وعي تبارك الله علي تباعد تبارك الله علي كمام,Positive,GENERAL,
نايا زهر نسكن في منزل حر و نقري في منزل تميم و شنمشي نجرب منه مطعم هذا خدمه هايله ياسر و نشالله موفق يا مولا قناه,Positive,RESTAURANT#GENERAL,مطعم
نايا زهر نسكن في منزل حر و نقري في منزل تميم و شنمشي نجرب منه مطعم هذا خدمه هايله ياسر و نشالله موفق يا مولا قناه,Positive,RESTAURANT#SERVICE,شاف
اعمل قيفوي,Positive,GENERAL,
اين تباعد,Positive,GENERAL,
انا نتم نزوج تونسيه منصغري هاذا هوا امنيتي انشاء الله يفتحو حدود او نروح نحوس علا زوجه تاعي في تونس وين راكي يا زوجتي بنات بلادي بلا زعاف,Positive,GENERAL,
شندويتش عادي اين شيئ خاص فهاذ فيدي,Negative,FOOD#QUALITY,اكل
ماشب بنيه متحجبه في اول فيديو ما احلا ماشاء له محلاك مره اخري من تونس,Positive,GENERAL,
اين تباعد وعي ومبعد يقلك شيب بلاد داخل في حيط والله زايد تخلف,Negative,GENERAL,
ماشالله علي زين بنات بلادي,Positive,GENERAL,
فرفاش برشا اللي يخدم في سندويتش,Negative,RESTAURANT#SERVICE,شاف
صراحه ماكله تونسيه خيال و بنه موش عاديه شكون يوافق مالكمونيه مرقه جلبانه علوش لوب مالح روز جربي كسكسي تونسي بانواعه لحم و قديد و سمك و قرنيط بسباس مروق بانواع الكل خضره قرع و حمص شوباي من طاج جبن طاج باي اسمو علي جسمو كفتاجي كبده و مرقاز عجه يبي هجه بانواع ههه طابونه تن سكالوب مرقاز متنوع برشا مطبخ سامحو ياجماعه تعبت وانا نسمي لسته طويله و عريضه,Positive,RESTAURANT#GENERAL,مطعم
ارواح جزائر ولايه بسكره تشوف شخشوخه ودباره,Positive,GENERAL,
اكل تونسي كله اصلو جزائري برغم فما كل شيء في فرنسا اما شيء ماكله متاع تونس وحد يكذب اعليك ابسط شيء شاهيه كسكروت تن ههه من يحب رسول الله صلي الله عليه وسلم يدعو لي ربنا يفرج همي تحي لاخوت توانسا من جزائر,Positive,RESTAURANT#GENERAL,مطعم
قناتك باهيه تشجع شباب باش يخدم نتم ان تواصل علي هذا نحو وقيس سعيد رئيسي,Positive,GENERAL,
تحياتي لك اخي كريم رهي مكلت تونسه روعه ياخوتنه وتحياتي لكم بي توفيق نجاح,Positive,GENERAL,
تحيه لشعب تونسي اخو جزائري عايش في امريكا,Positive,GENERAL,
سلام ورحمه الله وبركاته بصراحه اكل تونس شئ اجنن انا كنت قبل نجي انا وزوجتي بزاف لتونس,Positive,GENERAL,
محلاك يا تونس و ما احلي هذه قناه,Positive,GENERAL,
من جزائر من اكثر ماكل لي نحب في تونس كسكسي علوش و مقرونه تاع و الله روعه و فيه بزاف اكل اخري مي هادو يقعدو اكثر ماكل نحبهمو و هرقمه هذي جديده عليا وين نجي لتونس لازم نجرب و حبيت نعرف ماهو عقد تحياتي,Positive,RESTAURANT#GENERAL,مطعم
مام حنا كمون نستعملوه بزاف في حوت حمص فول,Positive,RESTAURANT#GENERAL,مطعم
ماشاء الله تبارك وتعالي ربي يحفظ و يوفق,Positive,RESTAURANT#SERVICE,شاف
شكرا علي توضيح في ما يخص شارع مكان و نوعيه اكله شيء رائع,Positive,FOOD#QUALITY,اكل
هرقمه تصلح للي يعا من ضعف يعني جسده ضعيف اكله قويه جدا,Positive,RESTAURANT#GENERAL,مطعم
سليم راجل متربي و معاملته هو ومرته حرفاء حاجه تخليك ترجعله و زيد ماكلته بنينهاحلي سليم فيك يا حومتي ياسم,Positive,RESTAURANT#SERVICE,شاف
يعطيك صحه و نشجعوك,Positive,RESTAURANT#SERVICE,شاف
ربي معاك خويا مهم ضميرك قبل كل شيئ و رزق من عند ربي,Positive,RESTAURANT#SERVICE,شاف
اتم كل ما تمشي لمك تصور فيه تعطيه نوت علي نظافه متاعو بش تشجعو تقلو محلك بش يولي معروف اكثر لازم تطلع نيفو نظافه فمه برشا مطاعم يخدمو علي قمامه,Positive,RESTAURANT#cleanliness,نظافة
تبكي طيور,Positive,GENERAL,
سر في كاربوناتو قادي و بره قالو حيله جديده ماكله دار وحد نظافه و صحه لا زيوته مقليه متع جمع لا وسخ لا كاربوناتو,Positive,RESTAURANT#cleanliness,نظافة
ماشالله ربي يعينك,Positive,RESTAURANT#SERVICE,شاف
اكثر حاجه شتهيت صحفه هرقمه حمص و خبز و ثوم عمري ماكليت هكه هرقمه ديما ناكل مرقه لوبيه يمكن هذا لبلابي هرقمه حاجه عالميه اول مره نرا شكرا علي فيديو عجب,Positive,FOOD#QUALITY,اكل
هكا فاش زعام رجال,Negative,GENERAL,
صحن هذا فيه 7000 حريره ههه,Positive,FOOD#QUALITY,اكل
يعطيك صحه شاف سليم علي طريقه تطييب لوب,Positive,RESTAURANT#SERVICE,شاف
يعطيه صحه سي سليم هرقمه اسم علي مسمي حرام عليك ما نقدرش نتفرج قناه انتاعك و انا جيع ههه برافو صحه وبالشفاء انا ايمن تونسي من باريس تبعو علي قناتي جديده فيديو مشخشخ برافو خدمه جباره انجح مشروع في تونس هيا همهامه مطعم حل مطعم وبرا ربي معاك يعطيك صحه,Positive,RESTAURANT#SERVICE,شاف
خدمه مزيانه و باين مغروم,Positive,RESTAURANT#SERVICE,شاف
روعه,Positive,RESTAURANT#SERVICE,شاف
شنو عنو الي حطو اخطر اكله تونسيه يعطيك والله كان بعصبانه تريه,Negative,RESTAURANT#LOCALISATION,عنوان
0840 تاكل منا سبيطار بجلطه منا,Negative,FOOD#QUALITY,اكل
مشاء الله,Positive,RESTAURANT#SERVICE,شاف
سليم يبان وليد اصل الله يبارك,Positive,RESTAURANT#SERVICE,شاف
وين بضبط هذي,Positive,RESTAURANT#LOCALISATION,عنوان
روعه,Positive,FOOD#QUALITY,اكل
مطعم يستحق الف تشجيع روعه برافو مرمز عنا شكشوكه بصل و ثوم وحمص و علوش و فلفل حار,Positive,RESTAURANT#GENERAL,مطعم
وين مكان يالله اخو من ليب يستفسر,Positive,RESTAURANT#LOCALISATION,عنوان
ربع دجاج بماتابعو عادي بيه ب 1800 ملا لعب ههه,Negative,FOOD#PRICES,سوم
ربي ابقي علي ستر و ابعد علي عين حساد الي ما يحترموش ياكلو و يشربو في تونس و لروحو اسبو ا ما عادش اتجو,Positive,RESTAURANT#GENERAL,مطعم
ايا صحه,Positive,RESTAURANT#GENERAL,مطعم
والله انا نعيش لبرا وين ناكل حاجه نحل يوتوب تاع مكلت تونس,Positive,GENERAL,
اخطر اكله تونسيه,Negative,FOOD#QUALITY,اكل
اسوام في سماء دجاج بارك ب16دينار متابع من ليب مركزي,Negative,FOOD#PRICES,سوم
لا زم تكو بطاط مقليه بصل فلفل كذالك مقليل اريد عكس ذلك انا كمون نحطو في اي نوع مرقه و شربه و نفوح بيه كل كل شي هو ليعدل مطعم اكله تونسيه بصراحه هو و رند مرحي ماكله تجي هايل هبرشا و فيها مطعم بنين لياكل مكلتي يقلي ابن ما ذقت و زادا امي معلمه في خلطه افاح اخاطر اغلبيه تلقي افاح موش فاوح و بنين,Positive,RESTAURANT#GENERAL,مطعم
احنا في جندوبه يحطو فيه برشا حشايش انا منعرفش اسامي اما تقول دواء موش افاح ههه عقد تساعد لمعرس ههه صوت صوت صوت صوت,Positive,RESTAURANT#GENERAL,مطعم
ماهي عقد,Positive,GENERAL,
احلي حومه و احلي ياسم و احلي سليم اخطر اكله رجال وخلي في سرك عشان منتفضحش ياخو,Positive,RESTAURANT#SERVICE,شاف
دجاجه روتي كامله 16 دينار,Negative,FOOD#PRICES,سوم
انا نسكن معذه اسمو سليم جوعتو الله يعطي شبغه ابعتلي شويه انا وراسك فهمت ههه فهمتك واه فهمتك هاها بون كوراج شنو لعقد برابي قولولي شون نحب نعرف شنو اعطي لستيس بش تطيب لوب وتك ذائبه ومتكذبش علي,Positive,RESTAURANT#SERVICE,شاف
بربي اسعار غاليه في تونس مقارنه في جزائر مثلا دجاجه مشويه كامله بتاويل ب 80 الف يعني بدرا 11 الف تونس بقي فاها كان ماكله بنينه سلام علي,Negative,FOOD#PRICES,سوم
السع والله توانسه نتو هدت وماكلت تمثيل في كلشي متابع جزايري ومحب اكل خصوصا لي يكون فيها محمصه,Positive,RESTAURANT#GENERAL,مطعم
ديرول دوره نوكلو دوباره تاع في بسكره مشيت تونسي 3ايام وانا فيا جوع بلاد قهره تفووه لبلابي بارد اقلاس يا خويا قنبله ذريه و مافيهاش مواد كيما هاذي يا لاطيف دسم و زيوت شحم,Negative,FOOD#QUALITY,اكل
ايجا حل في زيورخ اتو تشوف صعيب تلقي حاجه نظيفه في تونس اخص ناس تخب مان رخيص 310يحشو فيه علي شكون استوس وحيده هي بيكربوناتو معلم سلومه في هرقمه و عقد في جزاءر انطيبو لوب وحد قبل امبعد باش اندوزنو هادي باينه صلي علي نبي مرمز في شمال هو مرقك شكرا نقول بصراحه مغير م نجامل روحي انا طباخ تونسي تونسي مستعد لي اي منافسه من زميل من نفس مهنه و لحب اي معلومه عن طبخ تونسي و حكار انا في خدمتو مع شكر اشتهي اكل اطباق حمراء,Negative,FOOD#PRICES,سوم
تونس كلش احمر,Positive,GENERAL,
اسوام غاليه صراحه,Negative,FOOD#PRICES,سوم
لا استيس لا هول ايام كرب يهري فيهاخلي داره لوب 20 دقيقه يطيب في بماء فرق,Negative,RESTAURANT#cleanliness,نظافة
اه يا تونس,Positive,GENERAL,
الله يبارك مشاءالله حنا في دزاير عند لوب كرعينسيق بقره بصحت توانسا خوت,Positive,GENERAL,
الله لا تربحك واحد طلعت لطونسي وريوق ساحت الله الله علي صحيفه هرقمه تسخن رواري و جواجي يحل حدود و نجيوك يا تونس يا تحفونه توحشناك,Positive,RESTAURANT#GENERAL,مطعم
غالطت وبيا لازم اطيب بلا ملحثم تزيد ملح,Negative,RESTAURANT#GENERAL,مطعم
توا نزورو كي نهبط من مان هيكي هرغمه و مرمز,Positive,GENERAL,
ارقي و انظف اكل مطبخ تونسي بكل دول عربيه مطبخ عراقي مطبخ تونسي يستعمل ولا ميثل كما في شطه اسيويه تايلنديه منتشره اسواق امراض وطعمهه سئ,Positive,RESTAURANT#GENERAL,مطعم
مسخ ماكله كلها زيت,Negative,RESTAURANT#cleanliness,نظافة
عنا في جزائر دوباره,Positive,GENERAL,
ينصح بها لرجال عباره غير جميله يا صاحب قناه,Positive,GENERAL,
باز جرالك كرشك مبعد زوز صحافي هرقمه و عقد,Negative,FOOD#QUALITY,اكل
هذا حكايته فارغه معطناش لستيس وموراهالناش ميحبش يعطي سره,Negative,GENERAL,
امشي حوانت مشوي متاع قوسه الي في باب خضراء و حوانت درع امشي لشارع ابن خلد و شارع قاهره,Positive,RESTAURANT#GENERAL,مطعم
طبخ تونس لا علاقه تخلطو كلشي فصحن واحد تزيدو خبز تقطعوه ماكله ديال ايام حرب عسكر ههه,Negative,RESTAURANT#GENERAL,مطعم
والله جيت نكتب كومنتار باش نسال علي حجر صحي ربي يحفظ تونس جزائر و يحفظ عالم اسلامي ربي يحمي من كورو جزائري مر من هنا,Positive,GENERAL,
اي اشنو مكون كل ما عرفتش ههه,Negative,RESTAURANT#GENERAL,مطعم
ولايه و لدريسه وشكرا,Positive,GENERAL,
الله مستع و ربي يزيدو توفيق انشالله,Positive,RESTAURANT#SERVICE,شاف
دراري تابوناو معا الله يرحم ممتكوم,Positive,GENERAL,
محل يشبه مستودع ميكانيك,Negative,RESTAURANT#cleanliness,نظافة
عملت عجه في قناه و حكيت علي فيديو متاعك,Positive,GENERAL,
اخوك سوري متابعك من ٥ قنو مبدع ياغالي تونس شعب حنين وقلبو طيب عشت في سوسه سنت ربي يحن علي,Positive,GENERAL,
انشاء الله يرفع عنا وباء و يحفظ تونس و جزاير و انشاء الله تفتح حدود و نجيو لتونس و نذوق ماكله غرنوق,Positive,GENERAL,
انا جزائري والله سخف حاب نذوق اكله هاذي ربي يحفض خاوتي وربي يبعد علي وباء,Positive,GENERAL,
سبح الله ربي مبارك فاها ماكلتو وين نمشي ضرب نشبعوزيد انس شبع ويفرحو كلي,Positive,RESTAURANT#SERVICE,شاف
ديديكاس لصاحبي محمد هاملي مالزهرو ايعيش في نيس فرنسا,Positive,GENERAL,
لهم ادم نعمه واحفظ من زوال,Positive,GENERAL,
من فضلك ياصاحب قناه ان شاء الله كيف يتهز علي وباء اعمل لينا فيديو عند عادل تع باردو تحياتي من جزائر,Positive,GENERAL,
تحيه من جزائر,Positive,GENERAL,
عجه عند غرنوق مش دجاج كنتاكي,Positive,RESTAURANT#GENERAL,مطعم
تحياتي لكم وبالتوفيق لكل اخوه تونسي غرابي علي طاير تحيه لرجال زهرو جمله يا اخي ريحه وصلت الي جزائر,Positive,GENERAL,
سافرت وجربت ماكول في اما كثيره و انا انس يعني علي كرشي نسافر نورمال بصح الحق والله والله والله عظيم افضل عجه ذقت في حياتي,Positive,FOOD#QUALITY,اكل
ماكانش نهار جيت لتونس ومارحتلوش هلكت كورو برك اول حاجه ندير بعد حجر صحي هذا ديراكسي زهرو ماكله لبنينه كميه في بنين عجه عند غرنوق ماعناش دجاج كنتاكي,Positive,FOOD#QUALITY,اكل
انا من تونس من وﻻيه توزر واش رايك تعطي فيسبوك متاعك نتواصلو بربي صورل مطعم شوشو في عاصمه,Positive,GENERAL,
اختصاص عجه,Positive,RESTAURANT#GENERAL,مطعم
ميام عجه تونسيه سبب هجه كامله لمسيرت عليك يابلادي,Positive,RESTAURANT#GENERAL,مطعم
قناتك رائعه شهات في ماكله بلاد ربي يهون غربت ونرجعه لتونس,Positive,RESTAURANT#GENERAL,مطعم
كليت عندو عجه تنسي نهار الي تولدت فيه غرنوق مركه مسجله تونس الكل تعرفو,Positive,FOOD#QUALITY,اكل
رائع انت يا صاحب قناه طريقه تقديمك اكل و شرحك و اسئلتك ممتازه ساعدت في استكشاف اكل تقليديه تونسيه عزيزه علي قلب نحن جزائري برافو مشكور,Positive,GENERAL,
ربي يباركلو مطعم وحيد الي يعطيك صحن عجه بغلال بحر عايله4 اشخاص تفطر لي تشبع ماكله بنينه برشا,Positive,FOOD#QUALITY,اكل
ربي يعين,Positive,RESTAURANT#SERVICE,شاف
عجه بمرقاز تموت عليها ماما والله شفت تفكرت ماما وين نروح تونس تكل عجبه بمرقاز تحيه خوات توانسه ربي يحفظلي امي,Positive,FOOD#QUALITY,اكل
شكون ولد زهرو يعمل لايك,Positive,GENERAL,
اول تعليق الله يصلح حال جميعا,Positive,GENERAL,
الله يباركلو و يرزقو يا رب,Positive,RESTAURANT#SERVICE,شاف
تحيه الي زهرو احلي ناس عشيت فها في 2006اخو من كندا,Positive,GENERAL,
احلي ماكله ان شاء الله انجي و نجربو طبق لذيذ و شهي محلا عمال متوضع ربي يبارك في رزق تحيه من غرب جزائري,Positive,FOOD#QUALITY,اكل
صفحه متميزه بامتياز متابع من جزائر,Positive,GENERAL,
مرحبا صديقي,Positive,GENERAL,
عجه سباب هجه نعملو حتي في مغرب تحياتي خاوت توانسه نحب بفواكه بحر,Positive,GENERAL,
توحشت تونس وبنت,Positive,GENERAL,
ربي يبارك ما شاء الله,Positive,GENERAL,
يا اخوه لي ماكلش في تونس كيفاش يقول انا نسكن في افريق ولا انا نبغي تونس تحيه خالصه من جزائر لبلابي,Positive,GENERAL,
يا سلام ع جزائر اول مادخلت مطار عنابه قبلت تراب من اجمل دول عالم افطار حليب وكسرا الف تحيا من فلسط لي الام جزائر,Positive,GENERAL,
ملك عجه,Positive,RESTAURANT#SERVICE,شاف
